weburl,tname01,tname02,tname03,oname,year,country,category01,category02,category03,director
http://www.ygdy8.net/html/gndy/dyzz/20091107/22745.html,僵尸之地,,,Zombieland,2009,美国,喜剧,恐怖,,鲁本`弗雷斯彻
http://www.ygdy8.net/html/gndy/dyzz/20091107/22754.html,四个圣诞节,,,Four Christmases,2009,美国/德国,喜剧,剧情,爱情,西斯`戈登Seth
http://www.ygdy8.net/html/gndy/dyzz/20091107/22756.html,墨水,,,Ink,2009,美国,动作,幻想,科幻,Jamin
http://www.ygdy8.net/html/gndy/dyzz/20091108/22772.html,保镖,,,The Keeper,2009,美国,动作,,,Keoni
http://www.ygdy8.net/html/gndy/dyzz/20091108/22773.html,美食男孩冒险记,食物男孩冒险记,,The Adventures of Food Boy,2008,美国,喜剧,,,Dane
http://www.ygdy8.net/html/gndy/dyzz/20091109/22793.html,宿醉,醉后大丈夫,,The Hangover,2009,美国/德国,喜剧,惊悚,犯罪,托德`菲利普斯
http://www.ygdy8.net/html/gndy/dyzz/20091110/22797.html,布鲁诺,G型教主,布鲁诺：网眼T恤外国基佬让直男难堪不已的全美美妙旅行,Bruno,2009,美国,喜剧,,,拉里`查尔斯
http://www.ygdy8.net/html/gndy/dyzz/20091110/22808.html,钓鱼迷三平,,,Sanpei The Fisher Boy,2009,日本,冒险,家庭,剧情,泷田洋二郎
http://www.ygdy8.net/html/gndy/dyzz/20091110/22813.html,咒怨：黑少女,,,The Grudge Girl in Black,2009,日本,恐怖,,,安里麻里
http://www.ygdy8.net/html/gndy/dyzz/20091111/22829.html,意外,暗杀,,Assassins,2009,中国香港,惊悚,动作,,郑保瑞
http://www.ygdy8.net/html/gndy/dyzz/20091111/22830.html,倔强萝卜,倔犟萝卜,,Stubborn Robot,2009,中国,喜剧,剧情,,田蒙
http://www.ygdy8.net/html/gndy/dyzz/20091111/22831.html,深空失忆,潘朵姆,颤栗异次元,Pandorum,2009,美国/德国,惊悚,科幻,恐怖,克里斯蒂安`阿瓦特
http://www.ygdy8.net/html/gndy/dyzz/20091111/22836.html,意外,暗杀,,Assassins,2009,中国香港,惊悚,动作,,郑保瑞
http://www.ygdy8.net/html/gndy/dyzz/20091113/22870.html,机器人9号,,,Number 9,2009,美国,动画,冒险,剧情,申`阿克
